"","date","hits","keyword","geo","time","gprop","category"
"222",2022-06-19,79,"/m/01kcnl","AR","today+5-y","web",0
"223",2022-06-26,71,"/m/01kcnl","AR","today+5-y","web",0
"224",2022-07-03,69,"/m/01kcnl","AR","today+5-y","web",0
"225",2022-07-10,77,"/m/01kcnl","AR","today+5-y","web",0
"226",2022-07-17,69,"/m/01kcnl","AR","today+5-y","web",0
"227",2022-07-24,71,"/m/01kcnl","AR","today+5-y","web",0
"228",2022-07-31,74,"/m/01kcnl","AR","today+5-y","web",0
"229",2022-08-07,75,"/m/01kcnl","AR","today+5-y","web",0
"230",2022-08-14,75,"/m/01kcnl","AR","today+5-y","web",0
"231",2022-08-21,68,"/m/01kcnl","AR","today+5-y","web",0
"232",2022-08-28,74,"/m/01kcnl","AR","today+5-y","web",0
"233",2022-09-04,71,"/m/01kcnl","AR","today+5-y","web",0
"234",2022-09-11,71,"/m/01kcnl","AR","today+5-y","web",0
"235",2022-09-18,67,"/m/01kcnl","AR","today+5-y","web",0
"236",2022-09-25,68,"/m/01kcnl","AR","today+5-y","web",0
"237",2022-10-02,66,"/m/01kcnl","AR","today+5-y","web",0
"238",2022-10-09,63,"/m/01kcnl","AR","today+5-y","web",0
"239",2022-10-16,57,"/m/01kcnl","AR","today+5-y","web",0
"240",2022-10-23,60,"/m/01kcnl","AR","today+5-y","web",0
"241",2022-10-30,63,"/m/01kcnl","AR","today+5-y","web",0
"242",2022-11-06,65,"/m/01kcnl","AR","today+5-y","web",0
"243",2022-11-13,60,"/m/01kcnl","AR","today+5-y","web",0
"244",2022-11-20,58,"/m/01kcnl","AR","today+5-y","web",0
"245",2022-11-27,50,"/m/01kcnl","AR","today+5-y","web",0
"246",2022-12-04,51,"/m/01kcnl","AR","today+5-y","web",0
"247",2022-12-11,58,"/m/01kcnl","AR","today+5-y","web",0
"248",2022-12-18,50,"/m/01kcnl","AR","today+5-y","web",0
"249",2022-12-25,57,"/m/01kcnl","AR","today+5-y","web",0
"250",2023-01-01,66,"/m/01kcnl","AR","today+5-y","web",0
"251",2023-01-08,73,"/m/01kcnl","AR","today+5-y","web",0
"252",2023-01-15,76,"/m/01kcnl","AR","today+5-y","web",0
"253",2023-01-22,69,"/m/01kcnl","AR","today+5-y","web",0
"254",2023-01-29,72,"/m/01kcnl","AR","today+5-y","web",0
"255",2023-02-05,69,"/m/01kcnl","AR","today+5-y","web",0
"256",2023-02-12,64,"/m/01kcnl","AR","today+5-y","web",0
"257",2023-02-19,70,"/m/01kcnl","AR","today+5-y","web",0
"258",2023-02-26,70,"/m/01kcnl","AR","today+5-y","web",0
"259",2023-03-05,66,"/m/01kcnl","AR","today+5-y","web",0
"260",2023-03-12,66,"/m/01kcnl","AR","today+5-y","web",0
"261",2018-03-25,17,"/m/0218w7","AR","today+5-y","web",0
"262",2018-04-01,13,"/m/0218w7","AR","today+5-y","web",0
"263",2018-04-08,15,"/m/0218w7","AR","today+5-y","web",0
"264",2018-04-15,16,"/m/0218w7","AR","today+5-y","web",0
"265",2018-04-22,20,"/m/0218w7","AR","today+5-y","web",0
"266",2018-04-29,13,"/m/0218w7","AR","today+5-y","web",0
"267",2018-05-06,15,"/m/0218w7","AR","today+5-y","web",0
"268",2018-05-13,18,"/m/0218w7","AR","today+5-y","web",0
"269",2018-05-20,20,"/m/0218w7","AR","today+5-y","web",0
"270",2018-05-27,18,"/m/0218w7","AR","today+5-y","web",0
"271",2018-06-03,18,"/m/0218w7","AR","today+5-y","web",0
"272",2018-06-10,15,"/m/0218w7","AR","today+5-y","web",0
"273",2018-06-17,13,"/m/0218w7","AR","today+5-y","web",0
"274",2018-06-24,20,"/m/0218w7","AR","today+5-y","web",0
"275",2018-07-01,22,"/m/0218w7","AR","today+5-y","web",0
"276",2018-07-08,18,"/m/0218w7","AR","today+5-y","web",0
"277",2018-07-15,19,"/m/0218w7","AR","today+5-y","web",0
"278",2018-07-22,20,"/m/0218w7","AR","today+5-y","web",0
"279",2018-07-29,22,"/m/0218w7","AR","today+5-y","web",0
"280",2018-08-05,20,"/m/0218w7","AR","today+5-y","web",0
"281",2018-08-12,18,"/m/0218w7","AR","today+5-y","web",0
"282",2018-08-19,19,"/m/0218w7","AR","today+5-y","web",0
"283",2018-08-26,24,"/m/0218w7","AR","today+5-y","web",0
"284",2018-09-02,21,"/m/0218w7","AR","today+5-y","web",0
"285",2018-09-09,19,"/m/0218w7","AR","today+5-y","web",0
"286",2018-09-16,18,"/m/0218w7","AR","today+5-y","web",0
"287",2018-09-23,21,"/m/0218w7","AR","today+5-y","web",0
"288",2018-09-30,21,"/m/0218w7","AR","today+5-y","web",0
"289",2018-10-07,19,"/m/0218w7","AR","today+5-y","web",0
"290",2018-10-14,20,"/m/0218w7","AR","today+5-y","web",0
"291",2018-10-21,20,"/m/0218w7","AR","today+5-y","web",0
"292",2018-10-28,23,"/m/0218w7","AR","today+5-y","web",0
"293",2018-11-04,21,"/m/0218w7","AR","today+5-y","web",0
"294",2018-11-11,21,"/m/0218w7","AR","today+5-y","web",0
"295",2018-11-18,18,"/m/0218w7","AR","today+5-y","web",0
"296",2018-11-25,25,"/m/0218w7","AR","today+5-y","web",0
"297",2018-12-02,21,"/m/0218w7","AR","today+5-y","web",0
"298",2018-12-09,24,"/m/0218w7","AR","today+5-y","web",0
"299",2018-12-16,20,"/m/0218w7","AR","today+5-y","web",0
"300",2018-12-23,17,"/m/0218w7","AR","today+5-y","web",0
"301",2018-12-30,18,"/m/0218w7","AR","today+5-y","web",0
"302",2019-01-06,16,"/m/0218w7","AR","today+5-y","web",0
"303",2019-01-13,20,"/m/0218w7","AR","today+5-y","web",0
"304",2019-01-20,21,"/m/0218w7","AR","today+5-y","web",0
"305",2019-01-27,20,"/m/0218w7","AR","today+5-y","web",0
"306",2019-02-03,25,"/m/0218w7","AR","today+5-y","web",0
"307",2019-02-10,20,"/m/0218w7","AR","today+5-y","web",0
"308",2019-02-17,20,"/m/0218w7","AR","today+5-y","web",0
"309",2019-02-24,22,"/m/0218w7","AR","today+5-y","web",0
"310",2019-03-03,18,"/m/0218w7","AR","today+5-y","web",0
"311",2019-03-10,23,"/m/0218w7","AR","today+5-y","web",0
"312",2019-03-17,26,"/m/0218w7","AR","today+5-y","web",0
"313",2019-03-24,30,"/m/0218w7","AR","today+5-y","web",0
"314",2019-03-31,30,"/m/0218w7","AR","today+5-y","web",0
"315",2019-04-07,26,"/m/0218w7","AR","today+5-y","web",0
"316",2019-04-14,20,"/m/0218w7","AR","today+5-y","web",0
"317",2019-04-21,23,"/m/0218w7","AR","today+5-y","web",0
"318",2019-04-28,22,"/m/0218w7","AR","today+5-y","web",0
"319",2019-05-05,27,"/m/0218w7","AR","today+5-y","web",0
"320",2019-05-12,22,"/m/0218w7","AR","today+5-y","web",0
"321",2019-05-19,22,"/m/0218w7","AR","today+5-y","web",0
"322",2019-05-26,17,"/m/0218w7","AR","today+5-y","web",0
"323",2019-06-02,23,"/m/0218w7","AR","today+5-y","web",0
"324",2019-06-09,20,"/m/0218w7","AR","today+5-y","web",0
"325",2019-06-16,17,"/m/0218w7","AR","today+5-y","web",0
"326",2019-06-23,24,"/m/0218w7","AR","today+5-y","web",0
"327",2019-06-30,23,"/m/0218w7","AR","today+5-y","web",0
"328",2019-07-07,16,"/m/0218w7","AR","today+5-y","web",0
"329",2019-07-14,22,"/m/0218w7","AR","today+5-y","web",0
"330",2019-07-21,19,"/m/0218w7","AR","today+5-y","web",0
"331",2019-07-28,22,"/m/0218w7","AR","today+5-y","web",0
"332",2019-08-04,25,"/m/0218w7","AR","today+5-y","web",0
"333",2019-08-11,23,"/m/0218w7","AR","today+5-y","web",0
"334",2019-08-18,20,"/m/0218w7","AR","today+5-y","web",0
"335",2019-08-25,29,"/m/0218w7","AR","today+5-y","web",0
"336",2019-09-01,22,"/m/0218w7","AR","today+5-y","web",0
"337",2019-09-08,24,"/m/0218w7","AR","today+5-y","web",0
"338",2019-09-15,20,"/m/0218w7","AR","today+5-y","web",0
"339",2019-09-22,24,"/m/0218w7","AR","today+5-y","web",0
"340",2019-09-29,25,"/m/0218w7","AR","today+5-y","web",0
"341",2019-10-06,19,"/m/0218w7","AR","today+5-y","web",0
"342",2019-10-13,27,"/m/0218w7","AR","today+5-y","web",0
"343",2019-10-20,25,"/m/0218w7","AR","today+5-y","web",0
"344",2019-10-27,23,"/m/0218w7","AR","today+5-y","web",0
"345",2019-11-03,21,"/m/0218w7","AR","today+5-y","web",0
"346",2019-11-10,23,"/m/0218w7","AR","today+5-y","web",0
"347",2019-11-17,19,"/m/0218w7","AR","today+5-y","web",0
"348",2019-11-24,28,"/m/0218w7","AR","today+5-y","web",0
"349",2019-12-01,26,"/m/0218w7","AR","today+5-y","web",0
"350",2019-12-08,18,"/m/0218w7","AR","today+5-y","web",0
"351",2019-12-15,29,"/m/0218w7","AR","today+5-y","web",0
"352",2019-12-22,20,"/m/0218w7","AR","today+5-y","web",0
"353",2019-12-29,16,"/m/0218w7","AR","today+5-y","web",0
"354",2020-01-05,23,"/m/0218w7","AR","today+5-y","web",0
"355",2020-01-12,20,"/m/0218w7","AR","today+5-y","web",0
"356",2020-01-19,18,"/m/0218w7","AR","today+5-y","web",0
"357",2020-01-26,20,"/m/0218w7","AR","today+5-y","web",0
"358",2020-02-02,18,"/m/0218w7","AR","today+5-y","web",0
"359",2020-02-09,13,"/m/0218w7","AR","today+5-y","web",0
"360",2020-02-16,20,"/m/0218w7","AR","today+5-y","web",0
"361",2020-02-23,15,"/m/0218w7","AR","today+5-y","web",0
"362",2020-03-01,21,"/m/0218w7","AR","today+5-y","web",0
"363",2020-03-08,13,"/m/0218w7","AR","today+5-y","web",0
"364",2020-03-15,36,"/m/0218w7","AR","today+5-y","web",0
"365",2020-03-22,94,"/m/0218w7","AR","today+5-y","web",0
"366",2020-03-29,100,"/m/0218w7","AR","today+5-y","web",0
"367",2020-04-05,40,"/m/0218w7","AR","today+5-y","web",0
"368",2020-04-12,36,"/m/0218w7","AR","today+5-y","web",0
"369",2020-04-19,53,"/m/0218w7","AR","today+5-y","web",0
"370",2020-04-26,39,"/m/0218w7","AR","today+5-y","web",0
"371",2020-05-03,39,"/m/0218w7","AR","today+5-y","web",0
"372",2020-05-10,27,"/m/0218w7","AR","today+5-y","web",0
"373",2020-05-17,29,"/m/0218w7","AR","today+5-y","web",0
"374",2020-05-24,32,"/m/0218w7","AR","today+5-y","web",0
"375",2020-05-31,29,"/m/0218w7","AR","today+5-y","web",0
"376",2020-06-07,35,"/m/0218w7","AR","today+5-y","web",0
"377",2020-06-14,28,"/m/0218w7","AR","today+5-y","web",0
